timestamp,PV (kWh),Load (kWh),price (cents/kWh)
01132011 18:00,28.557694,4222,123.83
01132011 19:00,0,4139,117.52
01132011 20:00,0,3977,113
01132011 21:00,0,3673,94.32
01132011 22:00,0,3358,75.89
01132011 23:00,0,3094,70.71
01142011 00:00,0,2919,76.04
01142011 01:00,0,2838,64.73
01142011 02:00,0,2803,58.74
01142011 03:00,0,2809,56.56
01142011 04:00,0,2887,56.48
01142011 05:00,0,3156,67
01142011 06:00,0,3651,96.56
01142011 07:00,64.5192295,3896,108.85
01142011 08:00,1161.6987195,3900,110.96
01142011 09:00,3169.903847,3901,126.91
01142011 10:00,3850.7051275,3911,135.15
01142011 11:00,4219.1346175,3882,133.06
01142011 12:00,4250.8653825,3851,132.49
01142011 13:00,3760.8012805,3816,125
01142011 14:00,2044.5192295,3745,110.11
01142011 15:00,1836.506408,3720,108.28
01142011 16:00,778.814102,3910,133.24
01142011 17:00,394.1666685,4162,144.59
01142011 18:00,57.8205155,4114,137.37
01142011 19:00,0,4005,130
01142011 20:00,0,3894,121.54
01142011 21:00,0,3715,112.54
01142011 22:00,0,3459,98.56
01142011 23:00,0,3217,80.21
01152011 00:00,0,3030,62.63
01152011 01:00,0,2934,57.2
01152011 02:00,0,2890,57.72
01152011 03:00,0,2871,54.27
01152011 04:00,0,2910,54.32
01152011 05:00,0,3025,54.44
01152011 06:00,0,3247,59.78
01152011 07:00,44.775643,3512,62
01152011 08:00,620.8653825,3703,67.46
01152011 09:00,3337.371796,3805,77.81
01152011 10:00,3879.6153825,3793,87.84
01152011 11:00,4181.057694,3743,93.72
01152011 12:00,4116.8910255,3667,84.61
01152011 13:00,3829.903847,3589,64.58
01152011 14:00,3306.346153,3566,62
01152011 15:00,2421.410255,3593,62
01152011 16:00,1280.160255,3839,87
01152011 17:00,310.6089745,4082,114
01152011 18:00,32.435898,4017,118
01152011 19:00,0,3876,116
01152011 20:00,0,3747,93.35
01152011 21:00,0,3527,87.44
01152011 22:00,0,3258,62
01152011 23:00,0,3028,62
01162011 00:00,0,2817,56.53
01162011 01:00,0,2721,47.56
01162011 02:00,0,2660,47.77
01162011 03:00,0,2644,43.97
01162011 04:00,0,2670,44.34
01162011 05:00,0,2747,42.71
01162011 06:00,0,2907,45.68
01162011 07:00,53.2371785,3119,44.53
01162011 08:00,1080.256408,3359,47.23
01162011 09:00,3327.5,3503,54.39
01162011 10:00,4107.724357,3538,55.06
01162011 11:00,4427.5,3551,54.58
01162011 12:00,4419.038459,3516,54.44
01162011 13:00,3214.3269235,3485,50.51
01162011 14:00,1865.7692295,3468,50
01162011 15:00,1180.032051,3508,50.76
01162011 16:00,830.993592,3764,59.54
01162011 17:00,347.628204,4014,90.46
01162011 18:00,31.378204,3984,84.54
01162011 19:00,0,3828,73.69
01162011 20:00,0,3726,71
01162011 21:00,0,3491,62
01162011 22:00,0,3236,51.67
01162011 23:00,0,3025,54.93
01172011 00:00,0,2868,58.6
01172011 01:00,0,2798,49.88
01172011 02:00,0,2783,53.47
01172011 03:00,0,2796,51.88
01172011 04:00,0,2901,52
01172011 05:00,0,3135,53.86
01172011 06:00,0,3509,71.55
01172011 07:00,10.224357,3800,73.72
01172011 08:00,252.788459,3964,67.76
01172011 09:00,466.7948725,4041,75.64
01172011 10:00,1767.403847,4067,81.31
01172011 11:00,1891.506408,4041,83.54
01172011 12:00,1875.6410255,3966,74.68
01172011 13:00,1683.1410255,3908,68.85
01172011 14:00,826.410255,3846,62.3
01172011 15:00,923.3653825,3842,60.67
01172011 16:00,359.2628215,4059,76.65
01172011 17:00,76.8589745,4398,93.65
01172011 18:00,6.6987195,4374,92.87
01172011 19:00,0,4273,80.63
01172011 20:00,0,4083,75.51
01172011 21:00,0,3781,62
01172011 22:00,0,3472,54.64
01172011 23:00,0,3214,58.16
01182011 00:00,0,3054,56.69
01182011 01:00,0,2965,49.14
01182011 02:00,0,2898,46.93
01182011 03:00,0,2902,46.23
01182011 04:00,0,2992,41.43
01182011 05:00,0,3281,57.02
01182011 06:00,0,3728,65.17
01182011 07:00,10.9294845,3956,80.47
01182011 08:00,176.282051,4009,78.74
01182011 09:00,585.961541,4036,85.68
01182011 10:00,756.25,4078,89.72
01182011 11:00,922.660255,4103,86.64
01182011 12:00,3170.256408,4081,80.26
01182011 13:00,2726.025643,4058,79.99
01182011 14:00,2650.9294845,3983,77.97
01182011 15:00,1217.403847,3957,78.16
01182011 16:00,398.3974335,4128,83.13
01182011 17:00,158.3012805,4356,94.4
01182011 18:00,2.467949,4282,90.47
01182011 19:00,0,4114,84.93
01182011 20:00,0,3856,73.99
01182011 21:00,0,3545,62
01182011 22:00,0,3217,50.85
01182011 23:00,0,2943,49.17
01192011 00:00,0,2770,47.35
01192011 01:00,0,2674,43.82
01192011 02:00,0,2618,41.09
01192011 03:00,0,2626,40.82
01192011 04:00,0,2708,40.85
01192011 05:00,0,2973,43.25
01192011 06:00,0,3421,63.99
01192011 07:00,14.4551275,3656,66.05
01192011 08:00,247.1474335,3708,65.31
01192011 09:00,593.717949,3720,68.07
01192011 10:00,1176.8589745,3745,73.58
01192011 11:00,1541.057694,3764,71.57
01192011 12:00,2022.660255,3760,67.7
01192011 13:00,1672.9166685,3750,65.28
01192011 14:00,1197.660255,3725,62.91
01192011 15:00,1163.461541,3703,65.93
01192011 16:00,572.564102,3887,70.81
01192011 17:00,194.2628215,4141,91.92
01192011 18:00,19.743592,4140,87
01192011 19:00,0,4026,80.41
01192011 20:00,0,3836,68.59
01192011 21:00,0,3553,56.73
01192011 22:00,0,3246,51.31
01192011 23:00,0,2972,51.62
01202011 00:00,0,2795,57.51
01202011 01:00,0,2710,50.25
01202011 02:00,0,2663,46.94
01202011 03:00,0,2665,46.94
01202011 04:00,0,2759,47.8
01202011 05:00,0,3067,52.22
01202011 06:00,0,3562,71.76
01202011 07:00,10.224357,3782,85
01202011 08:00,442.467949,3786,80.17
01202011 09:00,1537.8846175,3777,81.89
01202011 10:00,3706.8589745,3771,80.57
01202011 11:00,4117.243592,3765,76.93
01202011 12:00,1759.6474335,3728,74.71
01202011 13:00,431.538459,3727,71.29
01202011 14:00,854.2628215,3680,69.54
01202011 15:00,803.1410255,3674,72.1
01202011 16:00,695.256408,3880,78.42
01202011 17:00,192.1474335,4195,112.17
01202011 18:00,20.4487195,4188,105.9
01202011 19:00,0,4091,90.45
01202011 20:00,0,3943,89.93
01202011 21:00,0,3645,73.53
01202011 22:00,0,3340,62.58
01202011 23:00,0,3070,60
01212011 00:00,0,2881,64.26
01212011 01:00,0,2786,56.94
01212011 02:00,0,2751,49.2
01212011 03:00,0,2754,49.34
01212011 04:00,0,2846,53.1
01212011 05:00,0,3110,58.38
01212011 06:00,0,3475,83.27
01212011 07:00,27.5,3707,104.94
01212011 08:00,461.8589745,3808,101.39
01212011 09:00,806.6666685,3899,106.09
01212011 10:00,850.3846175,3962,105.64
01212011 11:00,602.8846175,3982,104.15
01212011 12:00,637.435898,3938,95.68
01212011 13:00,837.692306,3880,82.81
01212011 14:00,640.6089745,3810,78.53
01212011 15:00,979.775643,3771,79.72
01212011 16:00,1277.692306,3909,97.93
01212011 17:00,234.1025665,4198,128.69
01212011 18:00,22.211541,4162,124.88
01212011 19:00,0,4043,106.93
01212011 20:00,0,3882,99
01212011 21:00,0,3662,84
01212011 22:00,0,3399,77.94
01212011 23:00,0,3147,72.32
01222011 00:00,0,2962,98.82
01222011 01:00,0,2887,83.1
01222011 02:00,0,2834,73.77
01222011 03:00,0,2823,72.64
01222011 04:00,0,2859,73.98
01222011 05:00,0,2972,84.35
01222011 06:00,0,3165,94.7
01222011 07:00,16.217949,3383,108.24
01222011 08:00,129.743592,3583,124.86
01222011 09:00,372.660255,3684,138.52
01222011 10:00,629.3269235,3700,153.28
01222011 11:00,1653.525643,3654,139.76
01222011 12:00,2125.256408,3579,133.64
01222011 13:00,3411.057694,3512,121.15
01222011 14:00,1947.9166685,3471,116
